parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
z238,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z239,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z240,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z241,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z242,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z243,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z244,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z245,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z246,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z247,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z248,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z249,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z250,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z251,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z252,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z253,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z254,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z255,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z256,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z257,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z258,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z259,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z260,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z261,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z262,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z263,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z264,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z265,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z266,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z267,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z268,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z269,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z270,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z271,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z272,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z273,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z274,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z275,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z276,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z277,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z278,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z279,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z280,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z281,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z282,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z283,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z284,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z285,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z286,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z287,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z288,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z289,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z290,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z291,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z292,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z293,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z294,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z295,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z296,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z297,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z298,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z299,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z300,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z301,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z302,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z303,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z304,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z305,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z306,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z307,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z308,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z309,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z310,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z311,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z312,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z313,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z314,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z315,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z316,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z317,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z318,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z319,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z320,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z321,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z322,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z323,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z324,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z325,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z326,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z327,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z328,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z329,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z330,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z331,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z332,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z333,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
