iteration,total_runs,obs_realization,par_realization,conc,pconc
0,982,391,391,8507.79,0
0,982,392,392,30502.9,0
0,982,393,393,12079.9,0
0,982,394,394,12288.3,0
0,982,395,395,19322,0
0,982,396,396,22783.6,0
0,982,397,397,12376.3,0
0,982,398,398,35103.4,0
0,982,399,399,6215.08,0
0,982,400,400,16949.5,0
0,982,401,401,55237.8,0
0,982,402,402,6646.54,0
0,982,403,403,10399.9,0
0,982,404,404,10199.3,0
0,982,405,405,2947.03,0
0,982,406,406,6003.93,0
0,982,407,407,5541.69,0
0,982,408,408,16140.5,0
0,982,409,409,12648.1,0
0,982,410,410,15684.7,0
0,982,411,411,9741.73,0
0,982,412,412,7596.11,0
0,982,413,413,19413.5,0
0,982,414,414,4257.22,0
0,982,415,415,4595.15,0
0,982,416,416,7409.31,0
0,982,417,417,39098.9,0
0,982,418,418,17853.6,0
0,982,419,419,9822.5,0
0,982,420,420,18215.1,0
0,982,421,421,14641.9,0
0,982,422,422,5253.43,0
0,982,423,423,16683.7,0
0,982,424,424,39046.3,0
0,982,425,425,10279,0
0,982,426,426,23381.8,0
0,982,427,427,11076.2,0
0,982,429,429,4063.96,0
0,982,430,430,13841.1,0
0,982,431,431,35588,0
0,982,432,432,6348.57,0
0,982,433,433,10353.5,0
0,982,434,434,4149.76,0
0,982,435,435,15552.4,0
0,982,436,436,10993.4,0
0,982,437,437,12136.9,0
0,982,438,438,10389.4,0
0,982,439,439,5785.26,0
0,982,440,440,16697.3,0
0,982,441,441,8236.98,0
0,982,442,442,10036.1,0
0,982,443,443,20422.5,0
0,982,444,444,4658.22,0
0,982,445,445,4774.1,0
0,982,446,446,17752.9,0
0,982,447,447,5955.91,0
0,982,448,448,13112.5,0
0,982,449,449,24751.4,0
0,982,450,450,5584.95,0
0,982,451,451,13525.4,0
0,982,452,452,8307.17,0
0,982,453,453,23226.1,0
0,982,454,454,21359,0
0,982,455,455,8045.85,0
0,982,456,456,41842.3,0
0,982,457,457,4095.6,0
0,982,458,458,26140.3,0
0,982,459,459,36864.8,0
0,982,460,460,38362,0
0,982,461,461,5246.67,0
0,982,462,462,39410.2,0
0,982,463,463,5378.03,0
0,982,464,464,4726.86,0
0,982,465,465,3092.51,0
0,982,466,466,19458.7,0
0,982,467,467,11387.1,0
0,982,468,468,16945.1,0
0,982,469,469,6723.91,0
0,982,470,470,6366.9,0
0,982,471,471,24432.2,0
0,982,472,472,12866,0
0,982,473,473,21309.8,0
0,982,474,474,5719.8,0
0,982,475,475,19382.6,0
0,982,476,476,4676.69,0
0,982,477,477,20575.4,0
0,982,478,478,93177.6,0
0,982,479,479,7317.3,0
0,982,480,480,2640.41,0
0,982,481,481,2629.31,0
0,982,482,482,59155.9,0
0,982,483,483,27032,0
0,982,484,484,13364.4,0
0,982,485,485,7312.58,0
0,982,486,486,9338.82,0
0,982,487,487,16249.4,0
0,982,488,488,13214.3,0
0,982,489,489,39049.1,0
0,982,490,490,10681.7,0
0,982,492,492,3772.79,0
0,982,493,493,19426.7,0
0,982,494,494,40381.9,0
0,982,495,495,1909.89,0
0,982,496,496,2470.88,0
0,982,497,497,3441.67,0
0,982,498,498,8250.14,0
0,982,499,499,26929.2,0
0,982,500,500,5694.11,0
0,982,501,501,4746.75,0
0,982,502,502,2322.17,0
0,982,503,503,41341.7,0
0,982,504,504,7372.08,0
0,982,505,505,23310.5,0
0,982,506,506,53842.1,0
0,982,507,507,8526.11,0
0,982,508,508,8711.85,0
0,982,509,509,2438.37,0
0,982,510,510,25539.9,0
0,982,511,511,5935.72,0
0,982,512,512,20389.7,0
0,982,513,513,4969.76,0
0,982,514,514,8158.88,0
0,982,515,515,9346.5,0
0,982,516,516,5214.14,0
0,982,517,517,11562.1,0
0,982,518,518,8867.42,0
0,982,519,519,16342,0
0,982,520,520,6214.33,0
0,982,521,521,4300.1,0
0,982,522,522,7200.83,0
0,982,523,523,53631.2,0
0,982,524,524,10310.4,0
0,982,525,525,55302.9,0
0,982,526,526,5881.64,0
0,982,527,527,22196.3,0
0,982,528,528,29137,0
0,982,529,529,99524.4,0
0,982,530,530,15283.8,0
0,982,531,531,9570.48,0
0,982,532,532,2445.79,0
0,982,533,533,33738.4,0
0,982,534,534,3088.46,0
0,982,535,535,5346.9,0
0,982,536,536,3341.99,0
0,982,537,537,28692.6,0
0,982,538,538,3818.43,0
0,982,539,539,7953.32,0
0,982,540,540,14921.3,0
0,982,541,541,6950.7,0
0,982,542,542,17711.7,0
0,982,543,543,30393.7,0
0,982,544,544,8625.72,0
0,982,545,545,15379.8,0
0,982,546,546,4201.06,0
0,982,547,547,5260.08,0
0,982,548,548,10774.2,0
0,982,549,549,6454.76,0
0,982,550,550,51667.2,0
0,982,551,551,3420.65,0
0,982,552,552,6101.34,0
0,982,553,553,9924.38,0
0,982,554,554,25391.2,0
0,982,555,555,3798.72,0
0,982,556,556,51456.5,0
0,982,557,557,10009.4,0
0,982,558,558,17521.5,0
