name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
C_MW4_009,0.0129,2.77695e-17,0.0129,0.0129,0.0129,0.0129,7.26074e-07,9.92679e-07,4.41667e-08,2.42747e-05,1.71875e-06,-2.66605e-07,0.0128757
C_MW4_010,-0.0054613,1.73559e-17,-0.0054613,-0.0054613,-0.0054613,-0.0054613,1.425e-06,2.0123e-06,7.86571e-08,4.89987e-05,3.43729e-06,-5.873e-07,0.00546138
C_MW4_011,-0.0038468,1.60542e-17,-0.0038468,-0.0038468,-0.0038468,-0.0038468,2.72106e-06,3.87046e-06,1.57995e-07,9.33748e-05,6.59152e-06,-1.14941e-06,0.00384696
C_MW4_012,0.0075233,3.55796e-17,0.0075233,0.0075233,0.0075233,0.0075233,5.04654e-06,7.09137e-06,2.78189e-07,0.000169246,1.21379e-05,-2.04484e-06,0.00735405
C_MW4_013,0.011927,1.73559e-17,0.011927,0.011927,0.011927,0.011927,9.0707e-06,1.24541e-05,4.92535e-07,0.000293416,2.15248e-05,-3.38344e-06,0.0116336
C_MW4_014,-0.011945,1.38847e-17,-0.011945,-0.011945,-0.011945,-0.011945,1.57878e-05,2.10594e-05,8.46976e-07,0.000488684,3.68472e-05,-5.27166e-06,0.0119458
C_MW4_015,-0.0045402,8.67796e-19,-0.0045402,-0.0045402,-0.0045402,-0.0045402,2.66126e-05,3.43959e-05,1.40626e-06,0.000784681,6.10086e-05,-7.78331e-06,0.00454161
C_MW4_016,-0.0022805,8.67796e-18,-0.0022805,-0.0022805,-0.0022805,-0.0022805,4.35107e-05,5.4418e-05,2.29286e-06,0.00121837,9.79287e-05,-1.09072e-05,0.00228279
C_MW4_017,0.010099,1.73559e-18,0.010099,0.010099,0.010099,0.010099,6.91437e-05,8.33397e-05,3.66363e-06,0.00182382,0.000152483,-1.41959e-05,0.00827518
C_MW4_018,-0.01079,4.51254e-17,-0.01079,-0.01079,-0.01079,-0.01079,0.000107081,0.000124432,5.73138e-06,0.00265988,0.000231513,-1.73508e-05,0.0107957
C_MW4_019,0.027111,1.59674e-16,0.027111,0.027111,0.027111,0.027111,0.000161942,0.000181578,8.7843e-06,0.00379104,0.00034352,-1.96364e-05,0.02332
C_MW4_022,0.02249,4.85966e-17,0.02249,0.02249,0.02249,0.02249,0.000493023,0.000495934,2.82466e-05,0.00961133,0.000988957,-2.9111e-06,0.0128787
C_MW4_025,-0.0012102,4.12203e-18,-0.0012102,-0.0012102,-0.0012102,-0.0012102,0.00127203,0.00114166,7.86448e-05,0.0203969,0.00241369,0.000130374,0.00128884
C_MW4_027,-0.0095868,6.24813e-17,-0.0095868,-0.0095868,-0.0095868,-0.0095868,0.00221168,0.00183732,0.000145558,0.0309848,0.00404899,0.000374361,0.00973236
C_MW4_030,-0.0078647,2.25627e-17,-0.0078647,-0.0078647,-0.0078647,-0.0078647,0.00457364,0.00338624,0.000335031,0.0522632,0.00795989,0.0011874,0.00819973
C_MW4_033,-0.014688,2.77695e-17,-0.014688,-0.014688,-0.014688,-0.014688,0.00848838,0.00561428,0.000701795,0.0794896,0.0141027,0.0028741,0.0153898
C_MW4_035,-0.0034634,1.12813e-17,-0.0034634,-0.0034634,-0.0034634,-0.0034634,0.0121656,0.0074819,0.00109657,0.1003,0.0196475,0.00468367,0.00455997
C_MW4_037,0.0002669,3.79661e-19,0.0002669,0.0002669,0.0002669,0.0002669,0.0168025,0.00962883,0.00164331,0.122646,0.0264313,0.00717366,0.00137641
C_MW4_041,0.0003473,1.08474e-18,0.0003473,0.0003473,0.0003473,0.0003473,0.0291202,0.0145774,0.00327508,0.169881,0.0436975,0.0145428,0.00292778
C_MW5_001,0.0030101,8.67796e-18,0.0030101,0.0030101,0.0030101,0.0030101,3.76597e-06,2.21444e-06,3.48583e-07,3.10246e-05,5.98042e-06,1.55153e-06,0.00297908
C_MW5_002,0.006992,3.55796e-17,0.006992,0.006992,0.006992,0.006992,3.7794e-05,2.08731e-05,3.68841e-06,0.000285318,5.86671e-05,1.69209e-05,0.00670668
C_MW5_003,0.012232,1.73559e-17,0.012232,0.012232,0.012232,0.012232,0.000208024,0.000103835,2.03395e-05,0.00137135,0.000311859,0.000104189,0.0108607
C_MW5_004,0.0055887,2.25627e-17,0.0055887,0.0055887,0.0055887,0.0055887,0.000797949,0.000356432,8.3303e-05,0.00454779,0.00115438,0.000441517,0.00104091
C_MW5_005,-0.0051731,3.12406e-17,-0.0051731,-0.0051731,-0.0051731,-0.0051731,0.00237886,0.0009482,0.000273815,0.0117076,0.00332706,0.00143066,0.00544692
C_MW6_001,-0.0078436,2.95051e-17,-0.0078436,-0.0078436,-0.0078436,-0.0078436,1.93317e-08,6.54176e-08,6.81148e-10,1.15798e-06,8.47493e-08,-4.60858e-08,0.0078436
C_MW6_002,0.0035652,1.30169e-17,0.0035652,0.0035652,0.0035652,0.0035652,1.79024e-07,5.32789e-07,1.99874e-09,9.22042e-06,7.11813e-07,-3.53766e-07,0.00355598
C_MW6_003,0.018159,9.37219e-17,0.018159,0.018159,0.018159,0.018159,9.26062e-07,2.65686e-06,8.47548e-09,4.63228e-05,3.58292e-06,-1.7308e-06,0.0181127
C_MW6_004,0.0033837,8.24406e-18,0.0033837,0.0033837,0.0033837,0.0033837,3.29517e-06,1.00476e-05,3.19744e-08,0.000174494,1.33427e-05,-6.75239e-06,0.00320921
C_MW6_005,-0.0004906,1.95254e-18,-0.0004906,-0.0004906,-0.0004906,-0.0004906,1.01412e-05,3.074e-05,1.18201e-07,0.000524869,4.08813e-05,-2.05988e-05,0.000490718
C_MW6_006,-0.006088,1.82237e-17,-0.006088,-0.006088,-0.006088,-0.006088,2.71003e-05,7.96024e-05,2.34055e-07,0.00132799,0.000106703,-5.25022e-05,0.00608823
