obsnme,obsval,weight,obgnme
mw3_298,0.81077,100.0,conc
mw3_299,0.81523,100.0,conc
mw3_300,0.82113,100.0,conc
mw4_301,0.011945,100.0,conc
mw4_302,-0.0049872,100.0,conc
mw4_303,-0.0008074,100.0,conc
mw4_304,0.019379,100.0,conc
mw4_305,0.0060884,100.0,conc
mw4_306,0.0009754,100.0,conc
mw4_307,0.013474,100.0,conc
mw4_308,0.014002,100.0,conc
mw4_309,0.0129,100.0,conc
mw4_310,-0.0054613,100.0,conc
mw4_311,-0.0038468,100.0,conc
mw4_312,0.0075233,100.0,conc
mw4_313,0.011927,100.0,conc
mw4_314,-0.011945,100.0,conc
mw4_315,-0.0045402,100.0,conc
mw4_316,-0.0022805,100.0,conc
mw4_317,0.010099,100.0,conc
mw4_318,-0.01079,100.0,conc
mw4_319,0.027111,100.0,conc
mw4_320,0.000992,100.0,conc
mw4_321,0.0063343,100.0,conc
mw4_322,0.02249,100.0,conc
mw4_323,0.006561,100.0,conc
mw4_324,0.0079245,100.0,conc
mw4_325,-0.0012102,100.0,conc
mw4_326,0.0054375,100.0,conc
mw4_327,-0.0095868,100.0,conc
mw4_328,0.0004934,100.0,conc
mw4_329,0.0019788,100.0,conc
mw4_330,-0.0078648,100.0,conc
mw4_331,0.012619,100.0,conc
mw4_332,0.0076999,100.0,conc
mw4_333,-0.014688,100.0,conc
mw4_334,0.012677,100.0,conc
mw4_335,-0.0034639,100.0,conc
mw4_336,0.012775,100.0,conc
mw4_337,0.0002669,100.0,conc
mw4_338,0.0062047,100.0,conc
mw4_339,0.01567,100.0,conc
mw4_340,0.032761,100.0,conc
mw4_341,0.0003483,100.0,conc
mw4_342,0.014299,100.0,conc
mw4_343,0.016862,100.0,conc
mw4_344,0.033938,100.0,conc
mw4_345,0.023506,100.0,conc
mw4_346,0.033291,100.0,conc
mw4_347,0.045836,100.0,conc
mw4_348,0.043774,100.0,conc
mw4_349,0.035766,100.0,conc
mw4_350,0.039621,100.0,conc
mw4_351,0.045504,100.0,conc
mw4_352,0.054132,100.0,conc
mw4_353,0.048602,100.0,conc
mw4_354,0.061397,100.0,conc
mw4_355,0.072633,100.0,conc
mw4_356,0.067276,100.0,conc
mw4_357,0.072404,100.0,conc
mw4_358,0.08539,100.0,conc
mw4_359,0.096009,100.0,conc
mw4_360,0.080215,100.0,conc
mw4_361,0.089447,100.0,conc
mw4_362,0.11792,100.0,conc
mw4_363,0.1107,100.0,conc
mw4_364,0.10586,100.0,conc
mw4_365,0.12404,100.0,conc
mw4_366,0.1447,100.0,conc
mw4_367,0.12878,100.0,conc
mw4_368,0.13147,100.0,conc
mw4_369,0.14471,100.0,conc
mw4_370,0.16928,100.0,conc
mw4_371,0.15296,100.0,conc
mw4_372,0.17101,100.0,conc
mw4_373,0.18193,100.0,conc
mw4_374,0.18425,100.0,conc
mw4_375,0.18081,100.0,conc
mw4_376,0.19688,100.0,conc
mw4_377,0.19819,100.0,conc
mw4_378,0.21073,100.0,conc
mw4_379,0.21262,100.0,conc
mw4_380,0.21617,100.0,conc
mw4_381,0.20341,100.0,conc
mw4_382,0.23304,100.0,conc
mw4_383,0.23141,100.0,conc
mw4_384,0.21822,100.0,conc
mw4_385,0.24493,100.0,conc
mw4_386,0.2547,100.0,conc
mw4_387,0.25687,100.0,conc
mw4_388,0.23993,100.0,conc
mw4_389,0.26328,100.0,conc
mw4_390,0.26706,100.0,conc
mw4_391,0.27966,100.0,conc
mw4_392,0.26602,100.0,conc
mw4_393,0.29788,100.0,conc
mw4_394,0.30651,100.0,conc
mw4_395,0.31302,100.0,conc
mw4_396,0.31283,100.0,conc
mw4_397,0.31847,100.0,conc
mw4_398,0.33559,100.0,conc
mw4_399,0.33615,100.0,conc
mw4_400,0.33355,100.0,conc
mw5_401,0.0030101,100.0,conc
mw5_402,0.006992,100.0,conc
mw5_403,0.012232,100.0,conc
mw5_404,0.0055887,100.0,conc
mw5_405,-0.0051728,100.0,conc
mw5_406,0.0015271,100.0,conc
mw5_407,0.015632,100.0,conc
mw5_408,0.028046,100.0,conc
mw5_409,0.052217,100.0,conc
mw5_410,0.0465,100.0,conc
mw5_411,0.087222,100.0,conc
mw5_412,0.11742,100.0,conc
mw5_413,0.1785,100.0,conc
mw5_414,0.21748,100.0,conc
mw5_415,0.25711,100.0,conc
mw5_416,0.3065,100.0,conc
mw5_417,0.33718,100.0,conc
mw5_418,0.39126,100.0,conc
mw5_419,0.4281,100.0,conc
mw5_420,0.46768,100.0,conc
mw5_421,0.50159,100.0,conc
mw5_422,0.54511,100.0,conc
mw5_423,0.57656,100.0,conc
mw5_424,0.58009,100.0,conc
mw5_425,0.61535,100.0,conc
mw5_426,0.64578,100.0,conc
mw5_427,0.6731,100.0,conc
mw5_428,0.67203,100.0,conc
mw5_429,0.69766,100.0,conc
mw5_430,0.72094,100.0,conc
mw5_431,0.75703,100.0,conc
mw5_432,0.74533,100.0,conc
mw5_433,0.76309,100.0,conc
mw5_434,0.77858,100.0,conc
mw5_435,0.78882,100.0,conc
mw5_436,0.80147,100.0,conc
mw5_437,0.80893,100.0,conc
mw5_438,0.81592,100.0,conc
mw5_439,0.82851,100.0,conc
mw5_440,0.83575,100.0,conc
mw5_441,0.84355,100.0,conc
mw5_442,0.8501,100.0,conc
mw5_443,0.84043,100.0,conc
mw5_444,0.85923,100.0,conc
mw5_445,0.86415,100.0,conc
mw5_446,0.8752,100.0,conc
mw5_447,0.87882,100.0,conc
mw5_448,0.89162,100.0,conc
mw5_449,0.87234,100.0,conc
mw5_450,0.88272,100.0,conc
mw5_451,0.88974,100.0,conc
mw5_452,0.88473,100.0,conc
mw5_453,0.89152,100.0,conc
mw5_454,0.89357,100.0,conc
mw5_455,0.89539,100.0,conc
mw5_456,0.92544,100.0,conc
mw5_457,0.90474,100.0,conc
mw5_458,0.92259,100.0,conc
mw5_459,0.90189,100.0,conc
mw5_460,0.91543,100.0,conc
mw5_461,0.90855,100.0,conc
mw5_462,0.92026,100.0,conc
mw5_463,0.93544,100.0,conc
mw5_464,0.9401,100.0,conc
mw5_465,0.93076,100.0,conc
mw5_466,0.92901,100.0,conc
mw5_467,0.92624,100.0,conc
mw5_468,0.9317,100.0,conc
mw5_469,0.94303,100.0,conc
mw5_470,0.91487,100.0,conc
mw5_471,0.92939,100.0,conc
mw5_472,0.92421,100.0,conc
mw5_473,0.94516,100.0,conc
mw5_474,0.92424,100.0,conc
mw5_475,0.94607,100.0,conc
mw5_476,0.92761,100.0,conc
mw5_477,0.92956,100.0,conc
mw5_478,0.9562,100.0,conc
mw5_479,0.95257,100.0,conc
mw5_480,0.93469,100.0,conc
mw5_481,0.92743,100.0,conc
mw5_482,0.93631,100.0,conc
mw5_483,0.95243,100.0,conc
mw5_484,0.94727,100.0,conc
mw5_485,0.93918,100.0,conc
mw5_486,0.95472,100.0,conc
mw5_487,0.96385,100.0,conc
mw5_488,0.93997,100.0,conc
mw5_489,0.95115,100.0,conc
mw5_490,0.94481,100.0,conc
mw5_491,0.96436,100.0,conc
mw5_492,0.95543,100.0,conc
mw5_493,0.9486,100.0,conc
mw5_494,0.93947,100.0,conc
mw5_495,0.96337,100.0,conc
mw5_496,0.95436,100.0,conc
mw5_497,0.95919,100.0,conc
mw5_498,0.9567,100.0,conc
mw5_499,0.96315,100.0,conc
mw5_500,0.94261,100.0,conc
mw6_501,-0.0078436,100.0,conc
mw6_502,0.0035652,100.0,conc
mw6_503,0.018159,100.0,conc
mw6_504,0.0033837,100.0,conc
mw6_505,-0.0004906,100.0,conc
mw6_506,-0.006088,100.0,conc
mw6_507,-0.0063794,100.0,conc
mw6_508,-0.0019011,100.0,conc
mw6_509,-0.0075165,100.0,conc
mw6_510,0.0016156,100.0,conc
mw6_511,0.0006181,100.0,conc
mw6_512,0.02042,100.0,conc
mw6_513,7.42e-05,100.0,conc
mw6_514,0.012364,100.0,conc
mw6_515,-0.0021913,100.0,conc
mw6_516,0.01221,100.0,conc
mw6_517,0.027981,100.0,conc
mw6_518,-0.0004785,100.0,conc
mw6_519,-0.0045658,100.0,conc
mw6_520,0.019533,100.0,conc
mw6_521,0.012124,100.0,conc
mw6_522,0.012072,100.0,conc
mw6_523,0.022729,100.0,conc
mw6_524,0.025518,100.0,conc
mw6_525,0.039949,100.0,conc
mw6_526,0.03762,100.0,conc
mw6_527,0.034445,100.0,conc
mw6_528,0.036582,100.0,conc
mw6_529,0.038823,100.0,conc
mw6_530,0.054157,100.0,conc
mw6_531,0.085363,100.0,conc
mw6_532,0.070518,100.0,conc
mw6_533,0.095793,100.0,conc
mw6_534,0.11871,100.0,conc
mw6_535,0.12476,100.0,conc
mw6_536,0.14759,100.0,conc
mw6_537,0.1542,100.0,conc
mw6_538,0.17761,100.0,conc
mw6_539,0.17217,100.0,conc
mw6_540,0.18578,100.0,conc
mw6_541,0.2297,100.0,conc
mw6_542,0.2302,100.0,conc
mw6_543,0.2441,100.0,conc
mw6_544,0.25396,100.0,conc
mw6_545,0.29165,100.0,conc
mw6_546,0.29659,100.0,conc
mw6_547,0.31244,100.0,conc
mw6_548,0.31653,100.0,conc
mw6_549,0.33885,100.0,conc
mw6_550,0.3485,100.0,conc
mw6_551,0.36607,100.0,conc
mw6_552,0.38419,100.0,conc
mw6_553,0.38947,100.0,conc
mw6_554,0.3993,100.0,conc
mw6_555,0.42816,100.0,conc
mw6_556,0.4226,100.0,conc
mw6_557,0.45841,100.0,conc
mw6_558,0.47128,100.0,conc
mw6_559,0.45344,100.0,conc
mw6_560,0.49399,100.0,conc
mw6_561,0.48029,100.0,conc
mw6_562,0.51154,100.0,conc
mw6_563,0.50256,100.0,conc
mw6_564,0.52531,100.0,conc
mw6_565,0.51648,100.0,conc
mw6_566,0.54203,100.0,conc
mw6_567,0.54509,100.0,conc
mw6_568,0.56833,100.0,conc
mw6_569,0.56818,100.0,conc
mw6_570,0.55967,100.0,conc
mw6_571,0.5793,100.0,conc
mw6_572,0.57688,100.0,conc
mw6_573,0.59263,100.0,conc
mw6_574,0.61313,100.0,conc
mw6_575,0.62033,100.0,conc
mw6_576,0.61312,100.0,conc
mw6_577,0.60999,100.0,conc
mw6_578,0.62525,100.0,conc
mw6_579,0.65142,100.0,conc
mw6_580,0.63564,100.0,conc
mw6_581,0.62851,100.0,conc
mw6_582,0.63512,100.0,conc
mw6_583,0.64281,100.0,conc
mw6_584,0.67105,100.0,conc
mw6_585,0.66251,100.0,conc
mw6_586,0.66398,100.0,conc
mw6_587,0.68024,100.0,conc
mw6_588,0.6916,100.0,conc
mw6_589,0.68572,100.0,conc
mw6_590,0.68437,100.0,conc
mw6_591,0.69946,100.0,conc
mw6_592,0.71042,100.0,conc
mw6_593,0.69078,100.0,conc
mw6_594,0.69809,100.0,conc
mw6_595,0.73653,100.0,conc
mw6_596,0.72571,100.0,conc
mw6_597,0.72963,100.0,conc
mw6_598,0.71676,100.0,conc
mw6_599,0.72532,100.0,conc
mw6_600,0.73693,100.0,conc
mw7_601,0.01278,100.0,conc
mw7_602,0.0013045,100.0,conc
mw7_603,-0.015502,100.0,conc
mw7_604,0.016573,100.0,conc
mw7_605,0.018875,100.0,conc
mw7_606,0.015815,100.0,conc
mw7_607,0.0036686,100.0,conc
mw7_608,0.020373,100.0,conc
mw7_609,0.04211,100.0,conc
mw7_610,0.070359,100.0,conc
mw7_611,0.11751,100.0,conc
mw7_612,0.12245,100.0,conc
mw7_613,0.16951,100.0,conc
mw7_614,0.22041,100.0,conc
mw7_615,0.26078,100.0,conc
mw7_616,0.3079,100.0,conc
mw7_617,0.34435,100.0,conc
mw7_618,0.40433,100.0,conc
mw7_619,0.44363,100.0,conc
mw7_620,0.48925,100.0,conc
mw7_621,0.53482,100.0,conc
mw7_622,0.55848,100.0,conc
mw7_623,0.59267,100.0,conc
mw7_624,0.62667,100.0,conc
mw7_625,0.64709,100.0,conc
mw7_626,0.67865,100.0,conc
mw7_627,0.68224,100.0,conc
mw7_628,0.71179,100.0,conc
mw7_629,0.74423,100.0,conc
mw7_630,0.75823,100.0,conc
mw7_631,0.77987,100.0,conc
mw7_632,0.77258,100.0,conc
mw7_633,0.79299,100.0,conc
mw7_634,0.80834,100.0,conc
mw7_635,0.81805,100.0,conc
mw7_636,0.826,100.0,conc
mw7_637,0.85085,100.0,conc
mw7_638,0.8403,100.0,conc
mw7_639,0.8492,100.0,conc
mw7_640,0.86441,100.0,conc
mw7_641,0.87045,100.0,conc
mw7_642,0.87288,100.0,conc
mw7_643,0.89332,100.0,conc
mw7_644,0.88739,100.0,conc
mw7_645,0.88408,100.0,conc
mw7_646,0.88117,100.0,conc
mw7_647,0.90688,100.0,conc
mw7_648,0.89243,100.0,conc
mw7_649,0.90605,100.0,conc
mw7_650,0.90042,100.0,conc
mw7_651,0.92971,100.0,conc
mw7_652,0.91912,100.0,conc
mw7_653,0.89743,100.0,conc
mw7_654,0.92044,100.0,conc
mw7_655,0.90656,100.0,conc
mw7_656,0.91714,100.0,conc
mw7_657,0.93305,100.0,conc
mw7_658,0.91454,100.0,conc
mw7_659,0.93272,100.0,conc
mw7_660,0.93077,100.0,conc
mw7_661,0.9409,100.0,conc
mw7_662,0.92569,100.0,conc
mw7_663,0.94318,100.0,conc
mw7_664,0.93519,100.0,conc
mw7_665,0.95054,100.0,conc
mw7_666,0.94234,100.0,conc
mw7_667,0.94989,100.0,conc
mw7_668,0.95808,100.0,conc
mw7_669,0.95699,100.0,conc
mw7_670,0.94717,100.0,conc
mw7_671,0.95569,100.0,conc
mw7_672,0.94991,100.0,conc
mw7_673,0.95527,100.0,conc
mw7_674,0.96823,100.0,conc
mw7_675,0.94474,100.0,conc
mw7_676,0.94255,100.0,conc
mw7_677,0.95999,100.0,conc
mw7_678,0.95062,100.0,conc
mw7_679,0.96929,100.0,conc
mw7_680,0.96647,100.0,conc
mw7_681,0.96505,100.0,conc
mw7_682,0.9595,100.0,conc
mw7_683,0.95589,100.0,conc
mw7_684,0.95254,100.0,conc
mw7_685,0.95655,100.0,conc
mw7_686,0.96242,100.0,conc
mw7_687,0.95396,100.0,conc
mw7_688,0.97419,100.0,conc
mw7_689,0.97103,100.0,conc
mw7_690,0.95242,100.0,conc
mw7_691,0.93931,100.0,conc
mw7_692,0.97748,100.0,conc
mw7_693,0.95515,100.0,conc
mw7_694,0.93916,100.0,conc
mw7_695,0.95187,100.0,conc
mw7_696,0.97089,100.0,conc
mw7_697,0.98276,100.0,conc
mw7_698,0.97906,100.0,conc
mw7_699,0.98496,100.0,conc
mw7_700,0.98852,100.0,conc
mw8_701,0.018394,100.0,conc
mw8_702,-0.0095454,100.0,conc
mw8_703,-0.0019548,100.0,conc
mw8_704,-0.0062119,100.0,conc
mw8_705,0.0005386,100.0,conc
mw8_706,-0.0034816,100.0,conc
mw8_707,0.0026195,100.0,conc
mw8_708,0.018152,100.0,conc
mw8_709,-0.0070196,100.0,conc
mw8_710,0.0073567,100.0,conc
mw8_711,-0.0096254,100.0,conc
mw8_712,-0.012814,100.0,conc
mw8_713,0.010056,100.0,conc
mw8_714,-0.0013574,100.0,conc
mw8_715,0.0007072,100.0,conc
mw8_716,0.014373,100.0,conc
mw8_717,-0.013186,100.0,conc
mw8_718,0.0007637,100.0,conc
mw8_719,0.014557,100.0,conc
mw8_720,-0.010209,100.0,conc
mw8_721,0.0025925,100.0,conc
mw8_722,0.0092315,100.0,conc
mw8_723,0.0092485,100.0,conc
mw8_724,0.0067213,100.0,conc
mw8_725,0.0097227,100.0,conc
mw8_726,0.0048437,100.0,conc
mw8_727,0.0078541,100.0,conc
mw8_728,0.0038691,100.0,conc
mw8_729,-0.0088904,100.0,conc
mw8_730,0.0011764,100.0,conc
mw8_731,-0.0010429,100.0,conc
mw8_732,0.011328,100.0,conc
mw8_733,0.0051196,100.0,conc
mw8_734,0.0052098,100.0,conc
mw8_735,0.0019616,100.0,conc
mw8_736,0.0066409,100.0,conc
mw8_737,-0.0052853,100.0,conc
mw8_738,0.0028742,100.0,conc
mw8_739,-0.0066448,100.0,conc
mw8_740,-0.0033342,100.0,conc
mw8_741,-0.01092,100.0,conc
mw8_742,0.02215,100.0,conc
mw8_743,0.0061431,100.0,conc
mw8_744,-0.0092928,100.0,conc
mw8_745,-0.0035366,100.0,conc
mw8_746,0.0035142,100.0,conc
mw8_747,-0.0042648,100.0,conc
mw8_748,0.0074805,100.0,conc
mw8_749,0.0045123,100.0,conc
mw8_750,0.011482,100.0,conc
mw8_751,-0.027879,100.0,conc
mw8_752,0.007607,100.0,conc
mw8_753,0.0024594,100.0,conc
mw8_754,0.010071,100.0,conc
mw8_755,-0.0054427,100.0,conc
mw8_756,-0.0071478,100.0,conc
mw8_757,-0.011103,100.0,conc
mw8_758,0.0047853,100.0,conc
mw8_759,0.0017288,100.0,conc
mw8_760,-0.016722,100.0,conc
mw8_761,-0.0054797,100.0,conc
mw8_762,-0.0001463,100.0,conc
mw8_763,-0.011718,100.0,conc
mw8_764,-0.003554,100.0,conc
